2017-09-19 08:40:53,734 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":0,"completed_count":0},"thread_pool":{"active_size":1,"core_size":4,"current_size":1,"largest_size":1,"max_size":2147483647}}
2017-09-19 08:40:54,608 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":1,"completed_count":0},"thread_pool":{"active_size":2,"core_size":4,"current_size":3,"largest_size":3,"max_size":2147483647}}
2017-09-19 08:40:55,606 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":1,"completed_count":1},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2017-09-19 08:40:56,604 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":2,"completed_count":2},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2017-09-19 08:40:57,603 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":2,"completed_count":2},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2017-09-19 08:40:58,601 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":2,"completed_count":2},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2017-09-19 08:40:59,600 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":2,"completed_count":2},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2017-09-19 08:41:00,598 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":2,"completed_count":2},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2017-09-19 08:41:01,612 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":2,"completed_count":2},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2017-09-19 08:41:02,611 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":2,"completed_count":2},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2017-09-19 08:41:03,610 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":2,"completed_count":2},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2017-09-19 08:41:04,608 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":2,"completed_count":2},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2017-09-19 08:41:05,607 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":2,"completed_count":2},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2017-09-19 08:41:06,605 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":2,"completed_count":2},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2017-09-19 08:41:07,603 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":2,"completed_count":2},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2017-09-19 08:41:08,602 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":2,"completed_count":2},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2017-09-19 08:41:09,600 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":2,"completed_count":2},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2017-09-19 08:41:10,601 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":2,"completed_count":2},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
